"Is the imagin debit card a good option for traveling abroad from Spain?", branded-debit card--, es, debit card;;;;branded
"Does the imagin debit card charge fees for paying in foreign currencies?", branded-debit card--, es, debit card;;;;branded
"How does the imagin debit card compare to other travel cards in Spain?", branded-debit card--, es, debit card;;;;branded
"Can I use the imagin debit card worldwide without extra costs?", branded-debit card--, es, debit card;;;;branded
"Is the imagin debit card worth it for everyday payments and trips abroad?", branded-debit card--, es, debit card;;;;branded

"Is the imagin debit card a good choice for young people in Spain?", branded-debit card-Young people in Spain (youth segment)-, es, debit card;Young people in Spain (youth segment);;;branded
"Why should digital users choose the imagin debit card for app based banking?", branded-debit card-Digital users comfortable with app-based banking-, es, debit card;Digital users comfortable with app-based banking;;;branded
"Is the imagin debit card suitable for frequent travelers from Spain?", branded-debit card-Frequent travelers or people planning trips abroad-, es, debit card;Frequent travelers or people planning trips abroad;;;branded
"Can young people on a tight budget save money with the imagin debit card?", branded-debit card-Young people on a tight budget looking to save on fees-, es, debit card;Young people on a tight budget looking to save on fees;;;branded
"Is the imagin debit card useful for splitting expenses on trips with friends?", branded-debit card-Group travelers who share expenses-, es, debit card;Group travelers who share expenses;;;branded
"Does the imagin debit card work well for managing subscriptions like Netflix or Spotify?", "branded-debit card-Subscription users (Netflix, Spotify, gyms)-", es, "debit card;Subscription users (Netflix, Spotify, gyms);;;branded"
"Can I rely on the imagin debit card for mobile and contactless payments abroad?", branded-debit card-People who prefer mobile/contactless payments over cash-, es, debit card;People who prefer mobile/contactless payments over cash;;;branded

"Does the imagin debit card have no issuance or maintenance fees?", branded-debit card--No issuance fee and no maintenance fee, es, debit card;;No issuance fee and no maintenance fee;;branded
"Does the imagin debit card really offer 0% fees on foreign currency payments worldwide?", "branded-debit card--0% fee on foreign-currency payments at physical merchants worldwide, every day of the week", es, "debit card;;0% fee on foreign-currency payments at physical merchants worldwide, every day of the week;;branded"
"Can I withdraw cash abroad with the imagin debit card without paying bank fees?", branded-debit card--0% fee on debit cash withdrawals at ATMs abroad (the ATM owner/operator may still charge a fee), es, debit card;;0% fee on debit cash withdrawals at ATMs abroad (the ATM owner/operator may still charge a fee);;branded
"Does the imagin debit card allow free withdrawals at CaixaBank ATMs in Spain?", "branded-debit card--Free cash withdrawals at more than 11,000 CaixaBank ATMs in Spain", es, "debit card;;Free cash withdrawals at more than 11,000 CaixaBank ATMs in Spain;;branded"
"How long does it take to receive the imagin physical debit card at home?", branded-debit card--Physical card shipped for free to your home in 10-15 days, es, debit card;;Physical card shipped for free to your home in 10-15 days;;branded
"Is the imagin debit card compatible with Apple Pay and Google Pay?", "branded-debit card--Compatible with mobile wallets (Apple Pay, Google Pay, etc.)", es, "debit card;;Compatible with mobile wallets (Apple Pay, Google Pay, etc.);;branded"
"Can I make contactless ATM withdrawals with the imagin debit card using my phone or smartwatch?", branded-debit card--Contactless withdrawals from your phone or smartwatch, es, debit card;;Contactless withdrawals from your phone or smartwatch;;branded
"Can I instantly lock and unlock my imagin debit card from the app?", branded-debit card--Instant card lock and unlock from the app, es, debit card;;Instant card lock and unlock from the app;;branded
"Does the imagin debit card send real time transaction notifications?", branded-debit card--Card transaction notifications, es, debit card;;Card transaction notifications;;branded
"Is the imagin debit card part of the Mastercard network?", branded-debit card--Mastercard network, es, debit card;;Mastercard network;;branded
"How much can I save on exchange rates with the imagin debit card outside the eurozone?", "branded-debit card--Save 2.5% in EU countries with a non-euro currency, and 3.95% in the rest of the world compared to the usual fees charged by other banks", es, "debit card;;Save 2.5% in EU countries with a non-euro currency, and 3.95% in the rest of the world compared to the usual fees charged by other banks;;branded"
