"Which debit card is better for traveling abroad from Spain: imagin or Revolut Standard?", competitor-debit card--, es, debit card;;;;competitor
"Is imagin debit card cheaper than N26 Standard for foreign payments?", competitor-debit card--, es, debit card;;;;competitor
"Should I choose imagin or Wise for paying in different currencies?", competitor-debit card--, es, debit card;;;;competitor
"Is imagin debit card a better option than BBVA Travel Pack for trips abroad?", competitor-debit card--, es, debit card;;;;competitor
"How does imagin compare to Banco Santander Travel Prepaid Card for international use?", competitor-debit card--, es, debit card;;;;competitor

"Is imagin or B100 a better debit card for young people in Spain?", competitor-debit card-Young people in Spain (youth segment)-, es, debit card;Young people in Spain (youth segment);;;competitor
"For digital app based banking, is imagin better than N26 Standard?", competitor-debit card-Digital users comfortable with app-based banking-, es, debit card;Digital users comfortable with app-based banking;;;competitor
"Which card is more convenient for frequent travelers: imagin or Revolut Standard?", competitor-debit card-Frequent travelers or people planning trips abroad-, es, debit card;Frequent travelers or people planning trips abroad;;;competitor
"Is imagin more affordable than ABANCA Tú NX for young people on a tight budget?", competitor-debit card-Young people on a tight budget looking to save on fees-, es, debit card;Young people on a tight budget looking to save on fees;;;competitor
"For group trips with friends, is imagin or Vivid Money better to manage shared expenses?", competitor-debit card-Group travelers who share expenses-, es, debit card;Group travelers who share expenses;;;competitor
"Which card works better for subscriptions like Netflix or Spotify: imagin or Revolut Standard?", "competitor-debit card-Subscription users (Netflix, Spotify, gyms)-", es, "debit card;Subscription users (Netflix, Spotify, gyms);;;competitor"
"For mobile and contactless payments abroad, is imagin better than N26 Standard?", competitor-debit card-People who prefer mobile/contactless payments over cash-, es, debit card;People who prefer mobile/contactless payments over cash;;;competitor

"Does imagin have fewer fees than BBVA Travel Pack with no issuance or maintenance costs?", competitor-debit card--No issuance fee and no maintenance fee, es, debit card;;No issuance fee and no maintenance fee;;competitor
"Which card offers better 0% foreign currency payments: imagin or Wise?", "competitor-debit card--0% fee on foreign-currency payments at physical merchants worldwide, every day of the week", es, "debit card;;0% fee on foreign-currency payments at physical merchants worldwide, every day of the week;;competitor"
"Between imagin and ABANCA Tú NX, which has better conditions for free ATM withdrawals abroad?", competitor-debit card--0% fee on debit cash withdrawals at ATMs abroad (the ATM owner/operator may still charge a fee), es, debit card;;0% fee on debit cash withdrawals at ATMs abroad (the ATM owner/operator may still charge a fee);;competitor
"Is imagin better than Banco Santander Travel Prepaid Card for free withdrawals in Spain?", "competitor-debit card--Free cash withdrawals at more than 11,000 CaixaBank ATMs in Spain", es, "debit card;;Free cash withdrawals at more than 11,000 CaixaBank ATMs in Spain;;competitor"
"Does imagin deliver the physical debit card faster than N26 Standard?", competitor-debit card--Physical card shipped for free to your home in 10-15 days, es, debit card;;Physical card shipped for free to your home in 10-15 days;;competitor
"Which card has better mobile wallet compatibility: imagin or Revolut Standard?", "competitor-debit card--Compatible with mobile wallets (Apple Pay, Google Pay, etc.)", es, "debit card;;Compatible with mobile wallets (Apple Pay, Google Pay, etc.);;competitor"
"Can I lock and unlock my card faster with imagin or with Vivid Money?", competitor-debit card--Instant card lock and unlock from the app, es, debit card;;Instant card lock and unlock from the app;;competitor
"Which card provides better real time transaction notifications: imagin or N26 Standard?", competitor-debit card--Card transaction notifications, es, debit card;;Card transaction notifications;;competitor
"Is imagin or Revolut Standard better for saving on exchange rates outside the eurozone?", "competitor-debit card--Save 2.5% in EU countries with a non-euro currency, and 3.95% in the rest of the world compared to the usual fees charged by other banks", es, "debit card;;Save 2.5% in EU countries with a non-euro currency, and 3.95% in the rest of the world compared to the usual fees charged by other banks;;competitor"
